name,value,time
motion,active,2018/12/4 2:31:23.308
motion,inactive,2018/12/4 2:31:19.938
motion,active,2018/12/4 2:30:36.345
motion,inactive,2018/12/4 2:30:24.348
motion,active,2018/12/4 2:30:10.696
motion,inactive,2018/12/4 2:29:58.798
motion,active,2018/12/4 2:29:44.129
motion,inactive,2018/12/4 2:29:43.108
motion,active,2018/12/4 2:28:41.024
motion,inactive,2018/12/4 2:28:39.413
motion,active,2018/12/4 2:28:16.684
motion,inactive,2018/12/4 2:28:15.632
motion,active,2018/12/4 2:28:00.564
motion,inactive,2018/12/4 2:27:39.592
motion,active,2018/12/4 2:27:28.094
motion,inactive,2018/12/4 2:27:18.324
motion,active,2018/12/4 2:26:27.354
motion,inactive,2018/12/4 2:25:49.201
motion,active,2018/12/4 2:25:27.378
motion,inactive,2018/12/4 2:24:58.730
motion,active,2018/12/4 2:24:37.081
motion,inactive,2018/12/4 2:24:26.452
motion,active,2018/12/4 2:23:08.077
motion,inactive,2018/12/4 2:22:41.426
motion,active,2018/12/4 2:21:02.972
motion,inactive,2018/12/4 2:20:47.462
motion,active,2018/12/4 2:20:27.171
motion,inactive,2018/12/4 2:20:21.909
motion,active,2018/12/4 2:19:39.581
motion,inactive,2018/12/4 2:19:36.011
motion,active,2018/12/4 2:19:22.040
motion,inactive,2018/12/4 2:19:14.031
motion,active,2018/12/4 2:18:19.724
motion,inactive,2018/12/4 2:18:09.000
motion,active,2018/12/4 2:17:58.398
motion,inactive,2018/12/4 2:17:49.548
motion,active,2018/12/4 2:17:34.539
motion,inactive,2018/12/4 2:17:21.045
temperature,72,2018/12/4 2:16:27.299
motion,active,2018/12/4 2:14:59.434
motion,inactive,2018/12/4 2:14:58.414
motion,active,2018/12/4 2:14:26.654
motion,inactive,2018/12/4 2:14:22.235
motion,active,2018/12/4 2:12:42.915
motion,inactive,2018/12/4 2:12:38.705
motion,active,2018/12/4 2:10:31.021
motion,inactive,2018/12/4 2:10:23.801
motion,active,2018/12/4 2:10:09.648
motion,inactive,2018/12/4 2:10:00.557
motion,active,2018/12/4 2:08:47.689
motion,inactive,2018/12/4 2:08:44.558
motion,active,2018/12/4 2:08:08.303
motion,inactive,2018/12/4 2:07:56.863
motion,active,2018/12/4 2:07:43.566
motion,inactive,2018/12/4 2:07:42.255
motion,active,2018/12/4 2:07:31.732
motion,inactive,2018/12/4 2:07:24.953
motion,active,2018/12/4 2:07:00.727
motion,inactive,2018/12/4 2:06:54.328
motion,active,2018/12/4 2:06:31.083
motion,inactive,2018/12/4 2:06:19.882
motion,active,2018/12/4 2:05:47.289
motion,inactive,2018/12/4 2:05:41.569
motion,active,2018/12/4 2:05:29.770
motion,inactive,2018/12/4 2:05:01.419
motion,active,2018/12/4 2:04:50.890
motion,inactive,2018/12/4 2:04:23.180
motion,active,2018/12/4 2:04:11.680
motion,inactive,2018/12/4 2:04:07.130
motion,active,2018/12/4 2:03:55.090
motion,inactive,2018/12/4 2:03:49.410
motion,active,2018/12/4 2:03:24.707
motion,inactive,2018/12/4 2:03:08.880
motion,active,2018/12/4 2:01:48.052
motion,inactive,2018/12/4 2:01:41.593
motion,active,2018/12/4 2:01:25.341
motion,inactive,2018/12/4 2:01:16.618
motion,active,2018/12/4 2:00:30.722
motion,inactive,2018/12/4 2:00:16.622
motion,active,2018/12/4 1:59:43.269
motion,inactive,2018/12/4 1:59:40.239
motion,active,2018/12/4 1:58:33.381
motion,inactive,2018/12/4 1:58:32.352
motion,active,2018/12/4 1:58:01.105
motion,inactive,2018/12/4 1:57:58.254
temperature,71,2018/12/4 1:56:23.739
motion,active,2018/12/4 1:55:43.109
motion,inactive,2018/12/4 1:55:40.737
motion,active,2018/12/4 1:55:14.378
motion,inactive,2018/12/4 1:55:02.299
motion,active,2018/12/4 1:53:41.187
motion,inactive,2018/12/4 1:53:40.071
motion,active,2018/12/4 1:52:21.011
motion,inactive,2018/12/4 1:52:19.231
acceleration,inactive,2018/12/4 1:51:15.861
motion,active,2018/12/4 1:51:12.555
status,closed,2018/12/4 1:51:11.723
status,open,2018/12/4 1:51:09.148
acceleration,active,2018/12/4 1:51:09.141
acceleration,inactive,2018/12/4 1:48:42.153
status,closed,2018/12/4 1:48:38.437
acceleration,active,2018/12/4 1:48:38.431
motion,inactive,2018/12/4 1:48:21.401
acceleration,inactive,2018/12/4 1:48:16.911
status,open,2018/12/4 1:48:10.583
acceleration,active,2018/12/4 1:48:10.193
motion,active,2018/12/4 1:47:07.966
motion,inactive,2018/12/4 1:47:05.521
motion,active,2018/12/4 1:46:09.444
motion,inactive,2018/12/4 1:46:08.166
motion,active,2018/12/4 1:45:20.224
motion,inactive,2018/12/4 1:45:14.776
motion,active,2018/12/4 1:44:42.298
motion,inactive,2018/12/4 1:44:31.130
motion,active,2018/12/4 1:40:28.417
motion,inactive,2018/12/4 1:40:24.395
motion,active,2018/12/4 1:39:57.465
motion,inactive,2018/12/4 1:39:33.132
motion,active,2018/12/4 1:39:22.763
motion,inactive,2018/12/4 1:39:21.165
motion,active,2018/12/4 1:38:19.514
motion,inactive,2018/12/4 1:38:18.336
motion,active,2018/12/4 1:36:12.280
motion,inactive,2018/12/4 1:36:10.751
motion,active,2018/12/4 1:35:54.474
motion,inactive,2018/12/4 1:35:53.454
acceleration,inactive,2018/12/4 1:33:27.042
motion,active,2018/12/4 1:33:24.510
status,closed,2018/12/4 1:33:23.228
acceleration,active,2018/12/4 1:33:20.641
status,open,2018/12/4 1:33:20.366
acceleration,inactive,2018/12/4 1:32:38.322
status,closed,2018/12/4 1:32:34.601
acceleration,active,2018/12/4 1:32:31.052
status,open,2018/12/4 1:32:30.986
temperature,72,2018/12/4 0:56:11.098
acceleration,inactive,2018/12/4 0:45:50.954
status,closed,2018/12/4 0:45:47.352
acceleration,active,2018/12/4 0:45:44.091
status,open,2018/12/4 0:45:43.842
acceleration,inactive,2018/12/4 0:45:41.854
status,closed,2018/12/4 0:45:38.503
status,open,2018/12/4 0:45:34.502
acceleration,active,2018/12/4 0:45:34.231
acceleration,inactive,2018/12/4 0:44:55.477
status,closed,2018/12/4 0:44:51.631
acceleration,active,2018/12/4 0:44:47.950
status,open,2018/12/4 0:44:47.881
acceleration,inactive,2018/12/4 0:44:29.377
motion,inactive,2018/12/4 0:44:29.088
status,closed,2018/12/4 0:44:25.578
acceleration,active,2018/12/4 0:44:24.320
acceleration,inactive,2018/12/4 0:44:21.590
acceleration,active,2018/12/4 0:44:17.217
status,open,2018/12/4 0:44:17.178
motion,active,2018/12/4 0:43:58.799
motion,inactive,2018/12/4 0:43:57.779
motion,active,2018/12/4 0:43:29.259
motion,inactive,2018/12/4 0:43:19.739
motion,active,2018/12/4 0:43:01.879
temperature,73,2018/12/4 0:42:43.501
acceleration,inactive,2018/12/4 0:42:35.879
acceleration,active,2018/12/4 0:42:32.339
acceleration,inactive,2018/12/4 0:42:29.309
acceleration,active,2018/12/4 0:42:26.427
acceleration,inactive,2018/12/4 0:42:25.427
status,closed,2018/12/4 0:42:25.345
acceleration,active,2018/12/4 0:42:21.373
status,open,2018/12/4 0:42:21.241
acceleration,inactive,2018/12/4 0:41:32.613
acceleration,active,2018/12/4 0:41:29.492
status,closed,2018/12/4 0:41:29.067
acceleration,inactive,2018/12/4 0:41:28.492
status,open,2018/12/4 0:41:22.131
acceleration,active,2018/12/4 0:41:21.980
acceleration,inactive,2018/12/4 0:40:29.969
status,closed,2018/12/4 0:40:26.246
status,open,2018/12/4 0:40:22.939
acceleration,active,2018/12/4 0:40:22.923
motion,inactive,2018/12/4 0:39:25.108
motion,active,2018/12/4 0:39:14.961
acceleration,inactive,2018/12/4 0:39:08.980
acceleration,active,2018/12/4 0:39:05.247
status,closed,2018/12/4 0:39:05.140
motion,inactive,2018/12/4 0:38:36.689
motion,active,2018/12/4 0:38:11.200
motion,inactive,2018/12/4 0:37:52.640
motion,active,2018/12/4 0:37:35.942
motion,inactive,2018/12/4 0:37:30.840
motion,active,2018/12/4 0:37:10.629
motion,inactive,2018/12/4 0:36:44.030
motion,active,2018/12/4 0:36:32.270
motion,inactive,2018/12/4 0:36:30.480
acceleration,inactive,2018/12/4 0:36:18.947
motion,active,2018/12/4 0:36:18.540
acceleration,active,2018/12/4 0:36:12.350
acceleration,inactive,2018/12/4 0:26:58.284
acceleration,active,2018/12/4 0:26:52.341
acceleration,inactive,2018/12/4 0:23:41.475
acceleration,active,2018/12/4 0:23:35.733
motion,inactive,2018/12/4 0:23:29.546
motion,active,2018/12/4 0:23:10.795
motion,inactive,2018/12/4 0:16:35.916
motion,active,2018/12/4 0:16:14.425
motion,inactive,2018/12/4 0:16:11.256
motion,active,2018/12/4 0:15:58.188
motion,inactive,2018/12/4 0:15:39.098
motion,active,2018/12/4 0:12:23.299
motion,inactive,2018/12/4 0:12:12.619
motion,active,2018/12/4 0:12:02.391
motion,inactive,2018/12/4 0:12:00.561
motion,active,2018/12/4 0:11:28.891
motion,inactive,2018/12/4 0:11:19.240
motion,active,2018/12/4 0:10:29.291
motion,inactive,2018/12/4 0:10:21.169
motion,active,2018/12/4 0:09:43.846
motion,inactive,2018/12/4 0:09:39.506
motion,active,2018/12/4 0:08:52.988
motion,inactive,2018/12/4 0:08:18.438
motion,active,2018/12/4 0:08:07.370
motion,inactive,2018/12/4 0:07:29.611
motion,active,2018/12/4 0:07:02.247
motion,inactive,2018/12/4 0:06:50.471
motion,active,2018/12/4 0:06:09.577
motion,inactive,2018/12/4 0:04:05.373
motion,active,2018/12/4 0:03:46.993
motion,inactive,2018/12/4 0:03:45.043
motion,active,2018/12/4 0:03:04.301
motion,inactive,2018/12/4 0:02:30.277
motion,active,2018/12/4 0:02:19.747
motion,inactive,2018/12/4 0:02:08.527
motion,active,2018/12/4 0:01:46.187
motion,inactive,2018/12/4 0:01:32.414
motion,active,2018/12/4 0:00:54.717
motion,inactive,2018/12/4 0:00:39.496
motion,active,2018/12/3 23:59:52.170
motion,inactive,2018/12/3 23:59:45.000
motion,active,2018/12/3 23:59:05.021
motion,inactive,2018/12/3 23:58:50.157
motion,active,2018/12/3 23:58:35.761
motion,inactive,2018/12/3 23:58:31.911
motion,active,2018/12/3 23:57:49.164
motion,inactive,2018/12/3 23:57:41.414
motion,active,2018/12/3 23:57:30.914
motion,inactive,2018/12/3 23:57:28.834
motion,active,2018/12/3 23:56:45.745
motion,inactive,2018/12/3 23:56:42.614
motion,active,2018/12/3 23:56:18.825
motion,inactive,2018/12/3 23:56:16.762
motion,active,2018/12/3 23:55:27.224
motion,inactive,2018/12/3 23:55:17.243
motion,active,2018/12/3 23:55:07.614
motion,inactive,2018/12/3 23:55:06.594
motion,active,2018/12/3 23:54:31.810
motion,inactive,2018/12/3 23:54:30.312
motion,active,2018/12/3 23:54:00.041
motion,inactive,2018/12/3 23:53:55.813
motion,active,2018/12/3 23:53:41.843
motion,inactive,2018/12/3 23:53:25.863
motion,active,2018/12/3 23:53:00.688
motion,inactive,2018/12/3 23:52:59.663
motion,active,2018/12/3 23:52:46.132
motion,inactive,2018/12/3 23:52:44.723
motion,active,2018/12/3 23:52:29.803
motion,inactive,2018/12/3 23:52:17.012
motion,active,2018/12/3 23:51:47.530
motion,inactive,2018/12/3 23:51:44.676
motion,active,2018/12/3 23:50:55.399
motion,inactive,2018/12/3 23:50:38.117
motion,active,2018/12/3 23:50:00.920
motion,inactive,2018/12/3 23:49:48.760
motion,active,2018/12/3 23:49:33.961
motion,inactive,2018/12/3 23:49:27.030
motion,active,2018/12/3 23:48:43.852
motion,inactive,2018/12/3 23:48:40.870
motion,active,2018/12/3 23:47:46.598
motion,inactive,2018/12/3 23:47:27.938
motion,active,2018/12/3 23:46:54.748
motion,inactive,2018/12/3 23:46:48.588
motion,active,2018/12/3 23:46:37.343
motion,inactive,2018/12/3 23:46:29.318
motion,active,2018/12/3 23:46:07.408
motion,inactive,2018/12/3 23:45:30.792
motion,active,2018/12/3 23:44:33.508
motion,inactive,2018/12/3 23:43:51.079
motion,active,2018/12/3 23:43:07.818
motion,inactive,2018/12/3 23:43:03.171
motion,active,2018/12/3 23:40:34.288
acceleration,inactive,2018/12/3 23:40:19.588
acceleration,active,2018/12/3 23:40:15.089
motion,inactive,2018/12/3 23:39:08.447
acceleration,inactive,2018/12/3 23:39:02.080
acceleration,active,2018/12/3 23:38:57.381
motion,active,2018/12/3 23:38:16.107
motion,inactive,2018/12/3 23:38:10.129
motion,active,2018/12/3 23:36:34.380
motion,inactive,2018/12/3 23:35:42.450
motion,active,2018/12/3 23:35:07.751
motion,inactive,2018/12/3 23:35:05.679
acceleration,inactive,2018/12/3 23:33:41.006
motion,active,2018/12/3 23:33:38.746
acceleration,active,2018/12/3 23:33:36.643
motion,inactive,2018/12/3 23:33:11.536
acceleration,inactive,2018/12/3 23:33:08.356
status,open,2018/12/3 23:33:04.107
acceleration,active,2018/12/3 23:33:04.077
acceleration,inactive,2018/12/3 23:21:27.355
motion,active,2018/12/3 23:21:25.663
status,closed,2018/12/3 23:21:23.665
acceleration,active,2018/12/3 23:21:21.744
motion,inactive,2018/12/3 23:16:11.803
acceleration,inactive,2018/12/3 23:16:04.120
acceleration,active,2018/12/3 23:15:59.968
motion,active,2018/12/3 23:15:14.363
motion,inactive,2018/12/3 23:15:03.372
