name,value,time
motion,inactive,20:47.5
motion,active,20:27.2
motion,inactive,20:21.9
motion,active,19:39.6
motion,inactive,19:36.0
motion,active,19:22.0
motion,inactive,19:14.0
motion,active,18:19.7
motion,inactive,18:09.0
motion,active,17:58.4
motion,inactive,17:49.5
motion,active,17:34.5
motion,inactive,17:21.0
temperature,72,16:27.3
motion,active,14:59.4
motion,inactive,14:58.4
motion,active,14:26.7
motion,inactive,14:22.2
motion,active,12:42.9
motion,inactive,12:38.7
motion,active,10:31.0
motion,inactive,10:23.8
motion,active,10:09.6
motion,inactive,10:00.6
motion,active,08:47.7
motion,inactive,08:44.6
motion,active,08:08.3
motion,inactive,07:56.9
motion,active,07:43.6
motion,inactive,07:42.3
motion,active,07:31.7
motion,inactive,07:25.0
motion,active,07:00.7
motion,inactive,06:54.3
motion,active,06:31.1
motion,inactive,06:19.9
motion,active,05:47.3
motion,inactive,05:41.6
motion,active,05:29.8
motion,inactive,05:01.4
motion,active,04:50.9
motion,inactive,04:23.2
motion,active,04:11.7
motion,inactive,04:07.1
motion,active,03:55.1
motion,inactive,03:49.4
motion,active,03:24.7
motion,inactive,03:08.9
motion,active,01:48.1
motion,inactive,01:41.6
motion,active,01:25.3
motion,inactive,01:16.6
motion,active,00:30.7
motion,inactive,00:16.6
motion,active,59:43.3
motion,inactive,59:40.2
motion,active,58:33.4
motion,inactive,58:32.4
motion,active,58:01.1
motion,inactive,57:58.3
temperature,71,56:23.7
motion,active,55:43.1
motion,inactive,55:40.7
motion,active,55:14.4
motion,inactive,55:02.3
motion,active,53:41.2
motion,inactive,53:40.1
motion,active,52:21.0
motion,inactive,52:19.2
acceleration,inactive,51:15.9
motion,active,51:12.6
status,closed,51:11.7
status,open,51:09.1
acceleration,active,51:09.1
acceleration,inactive,48:42.2
status,closed,48:38.4
acceleration,active,48:38.4
motion,inactive,48:21.4
acceleration,inactive,48:16.9
status,open,48:10.6
acceleration,active,48:10.2
motion,active,47:08.0
motion,inactive,47:05.5
motion,active,46:09.4
motion,inactive,46:08.2
motion,active,45:20.2
motion,inactive,45:14.8
motion,active,44:42.3
motion,inactive,44:31.1
motion,active,40:28.4
motion,inactive,40:24.4
motion,active,39:57.5
motion,inactive,39:33.1
motion,active,39:22.8
motion,inactive,39:21.2
motion,active,38:19.5
motion,inactive,38:18.3
motion,active,36:12.3
motion,inactive,36:10.8
motion,active,35:54.5
motion,inactive,35:53.5
acceleration,inactive,33:27.0
motion,active,33:24.5
status,closed,33:23.2
acceleration,active,33:20.6
status,open,33:20.4
acceleration,inactive,32:38.3
status,closed,32:34.6
acceleration,active,32:31.1
status,open,32:31.0
temperature,72,56:11.1
acceleration,inactive,45:51.0
status,closed,45:47.4
acceleration,active,45:44.1
status,open,45:43.8
acceleration,inactive,45:41.9
status,closed,45:38.5
status,open,45:34.5
acceleration,active,45:34.2
acceleration,inactive,44:55.5
status,closed,44:51.6
acceleration,active,44:47.9
status,open,44:47.9
acceleration,inactive,44:29.4
motion,inactive,44:29.1
status,closed,44:25.6
acceleration,active,44:24.3
acceleration,inactive,44:21.6
acceleration,active,44:17.2
status,open,44:17.2
motion,active,43:58.8
motion,inactive,43:57.8
motion,active,43:29.3
motion,inactive,43:19.7
motion,active,43:01.9
temperature,73,42:43.5
acceleration,inactive,42:35.9
acceleration,active,42:32.3
acceleration,inactive,42:29.3
acceleration,active,42:26.4
acceleration,inactive,42:25.4
status,closed,42:25.3
acceleration,active,42:21.4
status,open,42:21.2
acceleration,inactive,41:32.6
acceleration,active,41:29.5
status,closed,41:29.1
acceleration,inactive,41:28.5
status,open,41:22.1
acceleration,active,41:22.0
acceleration,inactive,40:30.0
status,closed,40:26.2
status,open,40:22.9
acceleration,active,40:22.9
motion,inactive,39:25.1
motion,active,39:15.0
acceleration,inactive,39:09.0
acceleration,active,39:05.2
status,closed,39:05.1
motion,inactive,38:36.7
motion,active,38:11.2
motion,inactive,37:52.6
motion,active,37:35.9
motion,inactive,37:30.8
motion,active,37:10.6
motion,inactive,36:44.0
motion,active,36:32.3
motion,inactive,36:30.5
acceleration,inactive,36:18.9
motion,active,36:18.5
acceleration,active,36:12.3
acceleration,inactive,26:58.3
acceleration,active,26:52.3
acceleration,inactive,23:41.5
acceleration,active,23:35.7
motion,inactive,23:29.5
motion,active,23:10.8
motion,inactive,16:35.9
motion,active,16:14.4
motion,inactive,16:11.3
motion,active,15:58.2
motion,inactive,15:39.1
motion,active,12:23.3
motion,inactive,12:12.6
motion,active,12:02.4
motion,inactive,12:00.6
motion,active,11:28.9
motion,inactive,11:19.2
motion,active,10:29.3
motion,inactive,10:21.2
motion,active,09:43.8
motion,inactive,09:39.5
motion,active,08:53.0
motion,inactive,08:18.4
motion,active,08:07.4
motion,inactive,07:29.6
motion,active,07:02.2
motion,inactive,06:50.5
motion,active,06:09.6
motion,inactive,04:05.4
motion,active,03:47.0
motion,inactive,03:45.0
motion,active,03:04.3
motion,inactive,02:30.3
motion,active,02:19.7
motion,inactive,02:08.5
motion,active,01:46.2
motion,inactive,01:32.4
motion,active,00:54.7
motion,inactive,00:39.5
motion,active,59:52.2
motion,inactive,59:45.0
motion,active,59:05.0
motion,inactive,58:50.2
motion,active,58:35.8
motion,inactive,58:31.9
motion,active,57:49.2
motion,inactive,57:41.4
motion,active,57:30.9
motion,inactive,57:28.8
motion,active,56:45.7
motion,inactive,56:42.6
motion,active,56:18.8
motion,inactive,56:16.8
motion,active,55:27.2
motion,inactive,55:17.2
motion,active,55:07.6
motion,inactive,55:06.6
motion,active,54:31.8
motion,inactive,54:30.3
motion,active,54:00.0
motion,inactive,53:55.8
motion,active,53:41.8
motion,inactive,53:25.9
motion,active,53:00.7
motion,inactive,52:59.7
motion,active,52:46.1
motion,inactive,52:44.7
motion,active,52:29.8
motion,inactive,52:17.0
motion,active,51:47.5
motion,inactive,51:44.7
motion,active,50:55.4
motion,inactive,50:38.1
motion,active,50:00.9
motion,inactive,49:48.8
motion,active,49:34.0
motion,inactive,49:27.0
motion,active,48:43.9
motion,inactive,48:40.9
motion,active,47:46.6
motion,inactive,47:27.9
motion,active,46:54.7
motion,inactive,46:48.6
motion,active,46:37.3
motion,inactive,46:29.3
motion,active,46:07.4
motion,inactive,45:30.8
motion,active,44:33.5
motion,inactive,43:51.1
motion,active,43:07.8
motion,inactive,43:03.2
motion,active,40:34.3
acceleration,inactive,40:19.6
acceleration,active,40:15.1
motion,inactive,39:08.4
acceleration,inactive,39:02.1
acceleration,active,38:57.4
motion,active,38:16.1
motion,inactive,38:10.1
motion,active,36:34.4
motion,inactive,35:42.4
motion,active,35:07.8
motion,inactive,35:05.7
acceleration,inactive,33:41.0
motion,active,33:38.7
acceleration,active,33:36.6
